"","J","J_centerRange","daySq","edate","J_daySq","fittedP","lwrCIP","uprCIP","fittedR","lwrCIR","uprCIR"
"1",274,-1.717734855662,2.95061303435615,2011-10-01,"-1.717734855662_2.95061303435615",5.81702237951008e-06,1.93018068624672e-07,0.000175279991134894,0.03817479212768,1.10438930244277e-05,131.956616273645
"2",277,-1.63325609226879,2.66752546293312,2011-10-04,"-1.63325609226879_2.66752546293312",1.41102670266731e-05,6.44165957307518e-07,0.000308994291795056,0.0637833873295915,3.83224997065216e-05,106.16010256096
"3",280,-1.54877732887557,2.39871121443895,2011-10-07,"-1.54877732887557_2.39871121443895",3.27990131025647e-05,2.02242534729823e-06,0.00053167433836907,0.103169033890757,0.00012420637201281,85.6948752424261
"4",283,-1.46429856548236,2.1441702888737,2011-10-10,"-1.46429856548236_2.1441702888737",7.30587961832434e-05,5.97075120407238e-06,0.000893282436780745,0.161548166540271,0.000375851536740927,69.4364863818879
"5",286,-1.37981980208915,1.90390268623734,2011-10-13,"-1.37981980208915_1.90390268623734",0.000155941351637603,1.65662387315809e-05,0.00146618817633137,0.244886919853069,0.00106131873520616,56.5048006087202
"6",289,-1.29534103869593,1.67790840652985,2011-10-16,"-1.29534103869593_1.67790840652985",0.000318941351323197,4.31669548513841e-05,0.00235237062364647,0.359368518844508,0.00279473821562387,46.2103146600679
"7",292,-1.21086227530272,1.46618744975128,2011-10-19,"-1.21086227530272_1.46618744975128",0.000625019752167476,0.000105543131056986,0.00369188694555858,0.510534806515296,0.00685681867846041,38.0126412679378
"8",295,-1.12638351190951,1.2687398159016,2011-10-22,"-1.12638351190951_1.2687398159016",0.00117345599801562,0.000241876347743562,0.00567262927030568,0.702136529290687,0.0156564212542382,31.4884032409973
"9",298,-1.04190474851629,1.08556550498079,2011-10-25,"-1.04190474851629_1.08556550498079",0.00211040716159399,0.000518913838588474,0.00854125118597079,0.934821443196227,0.0332196945209845,26.3064168187172
"10",301,-0.957425985123082,0.916664516988904,2011-10-28,"-0.957425985123082_0.916664516988904",0.00363500327185189,0.00104074652952375,0.0126142761643918,1.20488791653468,0.0653693394777942,22.2084987091606
"11",304,-0.872947221729869,0.762036851925897,2011-10-31,"-0.872947221729869_0.762036851925897",0.00599477870694032,0.00194895415095484,0.0182854370804802,1.50340336422427,0.118993447874441,18.9945052936511
"12",307,-0.788468458336655,0.621682509791782,2011-11-03,"-0.788468458336655_0.621682509791782",0.00946343296522706,0.00340522786737097,0.0260183408819069,1.81599760774359,0.199745388128841,16.5102550913628
"13",310,-0.703989694943442,0.495601490586561,2011-11-06,"-0.703989694943442_0.495601490586561",0.0142959819757313,0.00555285776591339,0.0363028450274259,2.12356672690231,0.308097535548827,14.6367144273763
"14",313,-0.619510931550229,0.383793794310232,2011-11-09,"-0.619510931550229_0.383793794310232",0.0206625844009009,0.00846680509368117,0.0495476034337155,2.40396110917559,0.435223661653669,13.2782969392583
"15",316,-0.535032168157016,0.286259420962797,2011-11-12,"-0.535032168157016_0.286259420962797",0.0285721699009618,0.0121139910692171,0.0658989948388226,2.6345099824336,0.562082775672644,12.3480795853181
"16",319,-0.450553404763803,0.202998370544255,2011-11-15,"-0.450553404763803_0.202998370544255",0.0378068834312385,0.016341966484478,0.0850285254025669,2.79500857814686,0.664849734275761,11.750133224351
"17",322,-0.36607464137059,0.134010643054606,2011-11-18,"-0.36607464137059_0.134010643054606",0.0478923552659016,0.0208967426498955,0.105987310265987,2.87063071450234,0.725064421032215,11.3652255716987
"18",325,-0.281595877977377,0.0792962384938498,2011-11-21,"-0.281595877977377_0.0792962384938498",0.0581221660602141,0.0254572781640085,0.127228370287193,2.8541868116544,0.737169544116728,11.0508938151845
"19",328,-0.197117114584164,0.0388551568619864,2011-11-24,"-0.197117114584164_0.0388551568619864",0.0676385306034062,0.0296744015504346,0.146823074540107,2.7472510522158,0.707920794149513,10.6613457413243
"20",331,-0.112638351190951,0.012687398159016,2011-11-27,"-0.112638351190951_0.012687398159016",0.0755527335586989,0.0332082293658806,0.162799410967786,2.55991289072973,0.650156342659678,10.079351039346
"21",334,-0.0281595877977377,0.000792962384938498,2011-11-30,"-0.0281595877977377_0.000792962384938498",0.0810775565437254,0.0357619691413231,0.173483424463662,2.30920724696177,0.576807082626502,9.24475144295977
"22",337,0.0563191755954754,0.00317184953975399,2011-12-03,"0.0563191755954754_0.00317184953975399",0.0836440956217032,0.0371106430219566,0.177754844229435,2.01656173398995,0.497913462622703,8.16712447494911
"23",340,0.140797938988688,0.0198240596234623,2011-12-06,"0.140797938988688_0.0198240596234623",0.0829837425540235,0.0371231000190389,0.175191032155834,1.70479050330009,0.420106789865638,6.91802829721392
"24",343,0.225276702381902,0.0507495926360641,2011-12-09,"0.225276702381902_0.0507495926360641",0.0791658426361487,0.035775985781337,0.166113877820619,1.39521584136517,0.347211886764257,5.60645334506647
"25",346,0.309755465775115,0.0959484485775584,2011-12-12,"0.309755465775115_0.0959484485775584",0.0725880457403,0.0331591136912382,0.151552142549242,1.10540815799306,0.2810946711344,4.34703080932251
"26",349,0.394234229168328,0.155420627447946,2011-12-15,"0.394234229168328_0.155420627447946",0.0639200236773524,0.0294724652369825,0.133108047258507,0.847841787349019,0.222402695633442,3.23213571817467
"27",352,0.478712992561541,0.229166129247226,2011-12-18,"0.478712992561541_0.229166129247226",0.0540057011512066,0.0250151061642399,0.112710196476605,0.629532064956466,0.171127982835971,2.31587268336017
"28",355,0.563191755954754,0.317184953975399,2011-12-21,"0.563191755954754_0.317184953975399",0.0437372051304266,0.0201644960008803,0.0922718332182539,0.452513748914676,0.12702285779932,1.61206176986132
"29",358,0.647670519347967,0.419477101632465,2011-12-24,"0.647670519347967_0.419477101632465",0.0339237167511855,0.0153405217477904,0.0733414806805255,0.314888346304244,0.0899011133714349,1.10293039674108
"30",361,0.73214928274118,0.536042572218424,2011-12-27,"0.73214928274118_0.536042572218424",0.0251842117626026,0.0109465039970468,0.0568754700740522,0.21212520877296,0.0597885137917014,0.752604494464242
"31",364,0.816628046134393,0.666881365733276,2011-12-30,"0.816628046134393_0.666881365733276",0.0178885825252496,0.00729094037498654,0.0432196288927484,0.138337162352035,0.0368008782391416,0.520019396364811
"32",2,0.901106809527606,0.811993482177021,2011-01-02,"0.901106809527606_0.811993482177021",0.012156491224501,0.00452078039695067,0.0322710216459091,0.0873366096143439,0.0207207525807538,0.36811806661951
"33",5,0.985585572920819,0.971378921549659,2011-01-05,"0.985585572920819_0.971378921549659",0.00790449365852158,0.00260848172016273,0.0236975473207265,0.0533782928521153,0.0106158306862549,0.268395590699774
"34",8,1.07006433631403,1.14503768385119,2011-01-08,"1.07006433631403_1.14503768385119",0.00491898002053861,0.00140218699801424,0.0171050756437039,0.0315823118072398,0.00495237931549544,0.201406708886137
"35",11,1.15454309970725,1.33296976908163,2011-01-11,"1.15454309970725_1.33296976908163",0.00293044567611931,0.000703512550681093,0.0121211172583869,0.0180898114160841,0.00211228147663547,0.154923139121937
"36",14,1.23902186310046,1.53517517724093,2011-01-14,"1.23902186310046_1.53517517724093",0.0016717400586435,0.000330083664595143,0.00842075029351589,0.0100307879016617,0.000827730029518959,0.121557394730014
"37",17,1.32350062649367,1.75165390832914,2011-01-17,"1.32350062649367_1.75165390832914",0.000913442522981988,0.000145077716087874,0.0057279304726387,0.00538451933871855,0.000299309493383809,0.0968664514488215
"38",20,1.40797938988688,1.98240596234623,2011-01-20,"1.40797938988688_1.98240596234623",0.00047813297393126,5.98136082924057e-05,0.00381090912635057,0.00279814180672644,0.000100218594076133,0.0781251986492882
"39",23,1.4924581532801,2.22743133929225,2011-01-23,"1.4924581532801_2.22743133929225",0.000239787252490577,2.31572594355738e-05,0.00247791147831527,0.00140767820024097,3.11529699059855e-05,0.0636073517681832
"40",26,1.57693691667331,2.48673003916713,2011-01-26,"1.57693691667331_2.48673003916713",0.000115225766276932,8.42593333477178e-06,0.00157359757792851,0.00068556389157842,9.00748539570623e-06,0.0521785857860165
