"","hour","fittedP","lwrCIP","uprCIP","fittedR","lwrCIR","uprCIR"
"1",0,0.179088053839353,0.0370442543552967,0.321131853323408,1.16176705341706,-0.376075051968851,2.69960915880297
"2",1,0.156044259731727,0.0283746816820828,0.283713837781371,1.03079422589185,-0.330687024937418,2.39227547672112
"3",2,0.137890205943983,0.0222861909809847,0.253494220906982,0.915708168923312,-0.294795398940168,2.12621173678679
"4",3,0.124825800397007,0.0183143710614948,0.231337229732519,0.824245826315189,-0.26849608597345,1.91698773860383
"5",4,0.11672240596878,0.0160251030572297,0.21741970888033,0.761296597920943,-0.251333910643777,1.77392710648566
"6",5,0.113377225238945,0.0151193081451089,0.21163514233278,0.729193659047562,-0.242830974512328,1.70121829260745
"7",6,0.114678031015294,0.0154688000526308,0.213887261977957,0.728694536537179,-0.242603284022844,1.6999923570972
"8",7,0.120670470882525,0.0171236937828219,0.224217247982228,0.759775989967238,-0.250256123406682,1.76980810334116
"9",8,0.131532017807771,0.0203100572143327,0.242753978401209,0.821648506187279,-0.26523039946254,1.9085274118371
"10",9,0.147450438051839,0.0254104556571265,0.269490420446552,0.911988969241736,-0.286738197075259,2.11071613555873
"11",10,0.168405685681855,0.0328952644912859,0.303916106872424,1.02597964191245,-0.313945038289643,2.36590432211454
"12",11,0.193884502338876,0.0431598198021811,0.344609184875571,1.15601706310496,-0.346421389514599,2.65845551572452
"13",12,0.222618737423287,0.0562486913492587,0.388988783497314,1.29252398518106,-0.384463376244376,2.96951134660649
"14",13,0.252490928874414,0.0715363907692391,0.433445466979589,1.42538389136667,-0.428595091099485,3.27936287383283
"15",14,0.280721971673963,0.0875434710080444,0.473900472339883,1.54511938864172,-0.478104450018664,3.56834322730211
"16",15,0.30432156646023,0.102078537723199,0.50656459519726,1.64346298379635,-0.529542761867011,3.8164687294597
"17",16,0.32063530695609,0.112737299748086,0.528533314164093,1.71362293381196,-0.576478062439301,4.00372393006321
"18",17,0.327794750407513,0.117572210927185,0.53801728988784,1.75061730441567,-0.610976821722424,4.11221143055377
"19",18,0.324979577378286,0.115659644179944,0.534299510576629,1.75171796642498,-0.626144149835027,4.12958008268498
"20",19,0.312512112289302,0.107367619881205,0.517656604697399,1.71678861452166,-0.618477942306057,4.05205517134938
"21",20,0.291821896263539,0.0942494685788138,0.489394323948264,1.6483112040532,-0.588987251169333,3.88560965927573
"22",21,0.26526318643066,0.0785913937702375,0.451934979091083,1.55109342501608,-0.542708216335621,3.64489506636777
"23",22,0.235744199205118,0.0627559902450022,0.408732408165234,1.43185139396183,-0.486998080457121,3.35070086838077
"24",23,0.206202848066,0.0485757520441394,0.36382994408786,1.29887942428808,-0.429427826086419,3.02718667466259
"25",24,0.179088053839353,0.0370442543552968,0.321131853323408,1.16176705341706,-0.376075051968851,2.69960915880297
