"","Lunar","fittedP","lwrCIP","uprCIP","fittedR","lwrCIR","uprCIR"
"1",0,0.0369031516479157,0.00145124848584602,0.0723550548099853,0.540042042587501,-0.311209298416063,1.39129338359107
"2",0.418879020478639,0.0461642642236627,0.00217137663809224,0.0901571518092331,0.491400692137031,-0.207952242212408,1.19075362648647
"3",0.837758040957278,0.0575131109403317,0.00343654049054793,0.111589681390115,0.37674425047409,-0.162442762844506,0.915931263792685
"4",1.25663706143592,0.0663570661152769,0.00463318840057639,0.128080943829977,0.320359911272584,-0.162556978034274,0.803276800579442
"5",1.67551608191456,0.0733789570586924,0.0055799961701752,0.14117791794721,0.369673884565379,-0.189690948601014,0.929038717731773
"6",2.0943951023932,0.0853817504549222,0.0079507187829015,0.162812782126943,0.613151183980982,-0.285729409560715,1.51203177752268
"7",2.51327412287183,0.111004526200554,0.0146504643153721,0.207358588085736,1.27487427585093,-0.485660166336369,3.03540871803822
"8",2.93215314335047,0.154267462239279,0.0282390315852889,0.280295892893269,1.67777027299416,-0.525297721634822,3.88083826762314
"9",3.35103216382911,0.200737814980127,0.0453054891988073,0.356170140761446,0.619359385384362,-0.215300665565624,1.45401943633435
"10",3.76991118430775,0.214592638782614,0.0508192473601918,0.378366030205037,0.186955631136571,-0.0743242086932396,0.448235470966382
"11",4.18879020478639,0.175914343738,0.0358882984579576,0.315940389018043,0.146621889901621,-0.0591969260996436,0.352440705902886
"12",4.60766922526503,0.112308973115525,0.0162165811351701,0.20840136509588,0.334534003308046,-0.111044454092337,0.780112460708428
"13",5.02654824574367,0.064256437900204,0.005637455587336,0.122875420213072,0.591288358094529,-0.228299806530548,1.41087652271961
"14",5.44542726622231,0.0410031117870051,0.0021322562722654,0.0798739673017448,0.522571480359051,-0.292347362088797,1.3374903228069
"15",5.86430628670095,0.0340510456991995,0.00132754524996506,0.0667745461484339,0.512681222035647,-0.346906864318715,1.37226930839001
"16",6.28318530717959,0.0369031516479157,0.00145124848584602,0.0723550548099853,0.540042042587502,-0.311209298416064,1.39129338359107
