"","Lunar","fittedP","lwrCIP","uprCIP","fittedR","lwrCIR","uprCIR"
"1",0,0.0212418202635238,0.000460530423831602,0.042023110103216,0.065349198407503,-0.0357450475269704,0.166443444341976
"2",0.418879020478639,0.0275403026994043,0.000752526813184523,0.0543280785856241,0.244419773302806,-0.0289012921684176,0.517740838774029
"3",0.837758040957278,0.0338689865221014,0.00112739639958924,0.0666105766446136,0.297424483770306,-0.0532118341419932,0.648060801682606
"4",1.25663706143592,0.0371849069453819,0.00137334324617653,0.0729964706445873,0.343475295000687,-0.0575977879140762,0.74454837791545
"5",1.67551608191456,0.0391008848648134,0.00149233550044156,0.0767094342291853,0.332813593932084,-0.0646662968459928,0.730293484710161
"6",2.0943951023932,0.0448902509578071,0.00223530442942186,0.0875451974861924,0.41290064612983,-0.0490831674012169,0.874884459660877
"7",2.51327412287183,0.060623938999661,0.00497330757361795,0.116274570425704,0.522312670512301,-0.0605882363441252,1.10521357736873
"8",2.93215314335047,0.0903707437035247,0.0113006853300724,0.169440802076977,0.680536097371703,-0.0823270011584858,1.44339919590189
"9",3.35103216382911,0.124686424066878,0.0198063165025227,0.229566531631233,0.910651269959154,-0.0498064658378898,1.8711090057562
"10",3.76991118430775,0.134027335773677,0.0221151390289055,0.245939532518448,0.522160009901291,-0.0346041084352462,1.07892412823783
"11",4.18879020478639,0.103672413705617,0.0142441283476266,0.193100699063606,0.361465131749072,-0.0279710706933063,0.75090133419145
"12",4.60766922526503,0.0606907775753598,0.0055934080432716,0.115788147107448,0.386880801321203,-0.0238483234491234,0.797609926091529
"13",5.02654824574367,0.0327832571450549,0.00159352660952186,0.063972987680588,0.239562532187349,-0.0312822932020748,0.510407357576773
"14",5.44542726622231,0.0209830945746309,0.000457316824656511,0.0415088723246054,0.0457736176202534,-0.0400245309347078,0.131571766175215
"15",5.86430628670095,0.018371335081979,0.000305110498160751,0.0364375596657973,0.0132047028248138,-0.0123024266769422,0.0387118323265698
"16",6.28318530717959,0.0212418202635238,0.000460530423831602,0.042023110103216,0.065349198407503,-0.0357450475269722,0.166443444341978
