"","J","fittedP","lwrCIP","uprCIP","fittedR","lwrCIR","uprCIR","edate"
"1",275,0.134421805272081,0.101375422015236,0.176375520705404,2.75718864905273,0.852764234518968,10.9888955120159,2011-10-02
"2",276,0.137033013401351,0.103326605695577,0.17960216674532,2.59356367160045,0.828356292454714,9.95589526706262,2011-10-03
"3",277,0.139778614694513,0.105473317167426,0.182943671686175,2.44494433794285,0.80540463285461,9.04968623725402,2011-10-04
"4",278,0.142652775431995,0.107808528424932,0.186415531062471,2.3107171607589,0.784105564555214,8.25579308778903,2011-10-05
"5",279,0.145654286942591,0.110322343250744,0.190037018427455,2.1903463524518,0.764671651099031,7.56165605439004,2011-10-06
"6",280,0.148787492975508,0.113003726780814,0.193830624879652,2.08337345595027,0.747333061531842,6.95638799903893,2011-10-07
"7",281,0.152062798765468,0.115842537946972,0.197821138626494,1.98941701234247,0.732338815176538,6.43056561561195,2011-10-08
"8",282,0.155496678429355,0.118831599188927,0.20203428269668,1.90817223856672,0.719957864011591,5.97604986357273,2011-10-09
"9",283,0.159111093860167,0.121968519906006,0.206494855435727,1.83941067785778,0.710479951227507,5.58583143746011,2011-10-10
"10",284,0.162932235364479,0.125257006356986,0.211224387879922,1.78297977364868,0.704216181395812,5.2538976825596,2011-10-11
"11",285,0.166988511160769,0.128707425826629,0.216238449805735,1.73880230414972,0.701499237137552,4.97511786339457,2011-10-12
"12",286,0.171307773197107,0.132336436824119,0.221543887702638,1.70687559994268,0.702683179816152,4.7451440984175,2011-10-13
"13",287,0.175913889561517,0.136165554263017,0.227136420749054,1.68727045082579,0.708142777982769,4.5603256056886,2011-10-14
"14",288,0.180822958076352,0.140218608723566,0.23299909009411,1.68012959115246,0.71827231707585,4.41763417262311,2011-10-15
"15",289,0.186039663726227,0.144518206801177,0.239101990619478,1.6856656355326,0.733483856681488,4.31459897902781,2011-10-16
"16",290,0.191554434763461,0.14908151408002,0.245403494036913,1.70415831972909,0.754204916278809,4.24924907689016,2011-10-17
"17",291,0.197342050501154,0.153915931513934,0.251852850000872,1.73595088584028,0.780875584878286,4.22006197269054,2011-10-18
"18",292,0.203362135575581,0.159015434822472,0.25839373979567,1.78144543762648,0.813945061739735,4.2259168782443,2011-10-19
"19",293,0.209561571779906,0.164358378343866,0.264968171697303,1.84109708258253,0.853867641546159,4.26605130395851,2011-10-20
"20",294,0.215878404896917,0.169907344773912,0.271520105553127,1.91540667378574,0.901098155348217,4.34001977315959,2011-10-21
"21",295,0.22224649789484,0.175611171349623,0.277998347993224,2.00491196855217,0.956086866564073,4.44765354605083,2011-10-22
"22",296,0.228600101603068,0.181408751331768,0.284358483368226,2.11017703451244,1.01927379932432,4.58902036348431,2011-10-23
"23",297,0.234877674210511,0.187233808218524,0.290563812535876,2.23177975885925,1.09108244686965,4.7643833584304,2011-10-24
"24",298,0.241024573662015,0.193019718362906,0.296585415233771,2.37029735504119,1.17191277564116,4.97415843854931,2011-10-25
"25",299,0.246994541373214,0.198703619861579,0.302401528594218,2.5262898145441,1.26213341394893,5.2188696156579,2011-10-26
"26",300,0.252750108086727,0.204229370240776,0.307996462802396,2.7002813204995,1.36207290282265,5.49910194353561,2011-10-27
"27",301,0.258262164795674,0.209549248626285,0.313359273031319,2.89273972477449,1.47200990279376,5.81545191830758,2011-10-28
"28",302,0.263508975400937,0.214624538301016,0.318482383939939,3.10405428998327,1.59216230665447,6.16847538732508,2011-10-29
"29",303,0.268474893011632,0.219425247910172,0.323360323358356,3.3345120103467,1.72267531597632,6.55863319406308,2011-10-30
"30",304,0.27314899993396,0.223929259036938,0.327988670458857,3.58427294697646,1.86360870382765,6.98623495179771,2011-10-31
